Principe actif;Classe;Galénique;Galéniques alternatives;Préparation;Goût;Administration du médicament modifié;Informations;Sources;Autres sources;Réponses des laboratoires;Date
PREDNISONE 1, 5 et 20 mg (Cortancyl);Glucocorticoïdes;Comprimé ou comprimé sécable;? Adaptation posologique ? Prednisolone orodispersible;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre de préférence au cours des repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
PREGABALINE 25, 50, 75, 100, 150, 200 et 300 (Lyrica);Autres antiépileptiques;Gélule ;Solution buvable;Ouverture possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;;Réponse laboratoire;;Pfizer 04-08-2020 : ouverture déconseillée, mais une étude prouve la bioeq des gélules ouvertes. Mélange à de l'eau, jus de fruis ou nourriture semi-solide à la discrétion du clinicien.;18/04/2023
PRIMIDONE 250 mg (Mysoline);Barbituriques et dérivés;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre à heure fixe.;RCP;;;18/04/2023
PRISTINAMYCINE 250 et 500 mg (Pyostacine);Streptogramines;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Peut être écrasé dans un peu de lait ou un aliment sucré (confiture). A prendre pendant les repas.;RCP;;Sanofi 23-03-2022 : cf. RCP;18/04/2023
PROBENECIDE 500 mg (Santuril);Uricosuriques;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;RCP;;;18/04/2023
PROCARBAZINE 50 mg (Natulan);Méthylhydrazines;Gélule;Non;Ne pas ouvrir;;;PA cytotoxique. Boire abondamment pendant la prise.;RCP;;;18/04/2023
PROGESTERONE 100 et 200 mg (Utrogestan);Dérivés pregnadiène;Capsule molle;Non;Ne pas ouvrir;;;A prendre à distance des repas, de préférence le soir au coucher. Peut être également administré par voie vaginale.;Galénique;;;18/04/2023
PROMETHAZINE 25 mg (Phenergan);Dérivés de la phénothiazine;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence le soir (effet sédatif).;Réponse laboratoire;;DB Pharma 21-02-2022 : écrasement déconseillé car pas d'étude;18/04/2023
PROPAFENONE 300 mg (Rythmol);Antiarythmiques, classe Ic;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre après les repas. Eviter le jus de pamplemousse.;Notice patient;Ecrasable selon HUG 03/2023;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
PROPERICIAZINE 10 mg (Neuleptil);Phénothiazines de structure pipéridinique;Gélule;Solution buvable en gouttes;Ne pas ouvrir;;;;Réponse laboratoire;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
PROPRANOLOL 40 mg (génériques);Bêta-bloquants non sélectifs;Comprimé sécable;Solution buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Biogaran 19-08-2020 : écrasement déconseillé car pas d'études;18/04/2023
PROPRANOLOL LP 80 et 160 mg (génériques);Bêta-bloquants non sélectifs;Gélule LP;"? Non LP ?
Solution buvable";Ne pas ouvrir;;;A prendre de préférence le matin.;Réponse laboratoire;Ouvrable selon HUG 03/2023;Teva 01-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
PROPYLTHIOURACILE 50 mg (Propylex);Thiouraciles;Comprimé;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;HAC Pharma 22-02-2022 : écrasement possible si besoin, avec administration immédiate et protection appropriée de l'opérateur;18/04/2023
PYRAZINAMIDE 500 mg (Pirilene);Autres antituberculeux;Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;;Thériaque 03/2023;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
PYRIDOSTIGMINE 60 mg (Mestinon);Anticholinesterasiques;Comprimé;Sirop (AAC);Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Réponse laboratoire;Ouvrable selon HUG 03/2023;Viatris 17-02-2023 : nous ne pouvons vous garantir la bonne stabilité ou biodisponibilité du médicament écrasable.;18/04/2023
PYRIDOSTIGMINE LP 180 mg (Mestinon LP);Anticholinesterasiques;Comprimé LP;"? Non LP ?
Sirop (AAC)";Ne pas écraser ni croquer;;;A ne pas prendre en position couchée.;Thériaque 03/2023;;;18/04/2023
PYRIDOXINE / THIAMINE 35/250 et 50/250 mg (Vitamine B1 B6, Princi B);Vitamine B1 en association avec les vitamines B6 et/ou B12;Comprimé;Non;?;;;;;;En attente (SERP);18/04/2023
PYRIDOXINE 250 mg (Becilan);Autres préparations à base de vitamines seules;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;DB Pharma 21-02-2022 : écrasement déconseillé car pas d'étude;18/04/2023
PYRIMETHAMINE 50 mg (Malocide);Diaminopyrimidines;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
QUETIAPINE LP 50, 300 et 400mg (Xeroquel);diazépines, oxazépines et thiazépines;Comprimé LP;Non;Ne pas écraser ni croquer;;;;RCP;;"RCP : ""Les comprimés doivent être avalés entiers et ne doivent pas être divisés, mâchés ou écrasés""";28/03/2024
QUINAPRIL / HYDROCHLOROTHIAZIDE 20/12,5 mg (Acuilix);Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques;Comprimé sécable;;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
QUINAPRIL 5 et 20 mg (Acuitel);Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
QUININE / QUINIDINE / CINCHONINE / CINCHONIDINE 125 et 500 mg (Quinimax) ;Alcaloïdes de la quinine;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;Eviter le jus de pamplemousse.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
RABEPRAZOLE 10 et 20 mg (Pariet);Inhibiteurs de la pompe à protons;Comprimé GR;Non;Ne pas écraser ni croquer;;;A prendre le matin avant les repas (uniquement pour favoriser l'observance : ni l'heure de prise ni l'alimentation n'a d'influence sur l'activité du Rabéprazole);RCP;;Janssen 09-03-2022 : non écrasable car PA instable en milieu acide.;18/04/2023
RACECADOTRIL 100 mg (Tiorfan, Diarfix, Tiorfast);Autres antidiarrhéiques;Gélule;Poudre orale, suspension buvable;?;Goût désagréable;;;;;En attente (Bioprojet Pharma);18/04/2023
RACECADOTRIL 175 mg (Tiorfanor);Autres antidiarrhéiques;Comprimé;Poudre orale, suspension buvable;?;Goût désagréable;;;;;En attente (Bioprojet Pharma);18/04/2023
RALTEGRAVIR 400 et 600 mg (Isentress);Inhibiteur de l'integrase;Comprimé;Comprimés à croquer, granulés pour suspension buvable;Ne pas écraser ni croquer;;;Non-interchangeabilité entre les comprimés, comprimés à croquer et granulés : suivre leurs recommandations posologiques respectives.;RCP;;;18/04/2023
RAMIPRIL / HYDROCHLOROTHIAZIDE 5/12,5 mg (Cotriatec);Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre à heure fixe, de préférence le matin.;RCP;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
"RAMIPRIL 1,25 ; 2, 5 et 10 mg (Triatec)";Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe.;RCP;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
"REPAGLINIDE 0,5 ; 1 et 2 mg (Novonorm)";Autres médicaments hypoglycémiant autres que les insulines;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre moins de 30 min avant les repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Novo Nordisk 01-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
RIFABUTINE 150 mg (Ansatipine);Antibiotiques;Gélule;Non;Ne pas ouvrir;;Prise possible avec de la compote<br>;;Notice patient;Ouvrable selon laboratoire;Serb 22-03-2022 : peut être ouvert et mélangé à de la compote de pommes.;18/04/2023
RIFAMPICINE 300 mg (Rifadine);Antibiotiques;Gélule;Suspension buvable;Ne pas ouvrir;;;A prendre de préférence ? 30 min avant les repas.;Réponse laboratoire;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;19/09/2023
RILMENIDINE 1 mg (Hyperium);Agonistes des récepteurs de l'imidazoline;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre le matin.;Réponse laboratoire;;Servier 28-02-2022 : écrasement déconseillé car pas d'étude;18/04/2023
RILPIVIRINE 25 mg (Edurant);Inhibiteurs de la transcriptase inverse non nucléosidique;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas. Eviter le jus de pamplemousse.;RCP;;Janssen 09-03-2022 : cf. RCP;18/04/2023
RILUZOLE 50 mg (Rilutek);Autres médicaments du systeme nerveux;Comprimé;Suspension buvable;Ne pas écraser ni croquer;;;A prendre à heure fixe.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
RISPERIDONE 1, 2 et 4 mg (Risperdal);Autres antipsychotiques;Comprimé sécable;Comprimés orodispersibles, solution buvable;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Janssen 12-04-2023 : écrasement déconseillé car pas d'étude;18/04/2023
RITONAVIR 100 mg (Norvir);Inhibiteurs de protéase;Comprimé;Suspension buvable;Ne pas écraser ni croquer;Goût désagréable;;A prendre pendant les repas.;RCP;;;18/04/2023
RIVAROXABAN 10, 15 et 20 mg (Xarelto);Inhibiteurs directs du facteur Xa;Comprimé;Granulés pour suspension buvable (AAP);Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec de la compote<br>Prise immédiate après préparation<br>;Peut être écrasé et mélangé à de l'eau ou de la compote de pommes. Administration immédiate.;RCP;;;18/04/2023
"RIVASTIGMINE 1,5 ; 3, 4,5 et 6 mg (Exelon)";Anticholinestérasiques;Gélule;Solution buvable, dispositif transdermique;Ne pas ouvrir;;;A prendre pendant les repas.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
RIZATRIPTAN 5 et 10 mg (Maxalt);Agonistes sélectifs des récepteurs 5-HT1;Comprimé;Comprimés orodispersibles;?;;;A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible.;;;En attente (Organon);18/04/2023
"ROPINIROLE 0,25 ; 0,5 ; 1, 2 et 5 mg (Requip)";Agonistes dopaminergiques;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;GSK 07-10-2020 : écrasement déconseillé car pas d'étude. Photosensible et hydrosoluble.;18/04/2023
ROPINIROLE LP 2, 4 et 8 mg (Requip LP);Agonistes dopaminergiques;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe.;Réponse laboratoire;;GSK 10-07-2020 : écrasement déconseillé car pas d'étude. Photosensible et hydrosoluble.;18/04/2023
ROSUVASTATINE 5, 10 et 20 mg (Crestor);Inhibiteurs de l'HMG-CoA reductase (statines);Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre de préférence à heure fixe.;Notice patient;;;18/04/2023
ROXITHROMYCINE 100 et 150 mg (Rulid);Macrolides;Comprimé;Comprimés pour suspension buvable (50 mg);Ne pas écraser ni croquer;;;A prendre de préférence avant les repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
RUFINAMIDE 100, 200 et 400 mg (Inovelon);Dérivés du carboxamide;Comprimé;Suspension buvable;Écrasement possible;;Prise possible avec de l’eau<br>;Peut être écrasé et administré avec de l'eau. A prendre pendant les repas.;RCP;;;18/04/2023
RUXOLITINIB 5, 10, 15 et 20 mg (Jakavi);Inhibiteurs de protéine kinase;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;18/04/2023
SACCHAROMYCES BOULARDII 50 et 200 mg (Ultra-levure);Micro-organismes antidiarrhéiques;Gélule;Poudre pour suspension buvable;?;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;Ne pas ouvrir les gélules dans l'environnement d'un patient immunodéprimé ou porteur d'un cathéter veineux (risque de contamination).;Réponse laboratoire;;Biocodex 17-02-2022 : ouvrable si administration immédiate, sauf cas particuliers (cf. RCP). Ne pas dissoudre dans un liquide réfrigéré. Sensible à l'humidité.;18/04/2023
SACCHAROMYCES CEREVISIAE / CHARBON ACTIVE (Carbolevure adultes);Préparations à base de charbon activé;Gélule;Non;Ne pas ouvrir;;;A prendre de préférence en dehors des repas.;Notice patient;;Pierre Fabre 21-02-2022 : ouverture déconseillée car pas d'étude.;18/04/2023
SAXAGLIPTINE / METFORMINE 2,5/1000 mg (Komboglyze);Association de médicaments oraux réduisant la glycémie;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre pendant les repas.;Notice patient;;AstraZeneca 06-04-2022 : écrasement déconseillé car pas d'étude. Goût métallique.;18/04/2023
SAXAGLIPTINE 5 mg (Onglyza);Inhibiteurs de la dipeptidyl peptidase-4 (DPP-4);Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence à heure fixe.;RCP;;AstraZeneca 06-04-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
SELEGILINE 5 mg (Deprenyl);Inhibiteurs de la monoamine oxydase de type B (IMAO-B);Comprimé sécable;Dispositif transdermique (AAC);Ne pas écraser ni croquer;;;A prendre pendant les repas.;Thériaque 03/2023;;;18/04/2023
SERTRALINE 25 et 50 mg (Zoloft);Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS);Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas.;Réponse laboratoire;;Pfizer 04-08-2020 : ouverture déconseillé car hors-AMM. Pas d'étude.;18/04/2023
SEVELAMER 800 mg (Renvela);Médicaments de l'hyperkaliémie et l'hyperphosphorémie;Comprimé;Poudre pour suspension buvable;Ne pas écraser ni croquer;;;A prendre pendant les repas.;RCP;Ecrasable selon HUG 03/2023;;19/09/2023
SILDENAFIL 20, 25, 50 et 100 mg (Revatio, Viagra);Médicaments utilisés dans les troubles de l'erection;Comprimé;Poudre pour suspension buvable, comprimés orodispersibles;Ne pas écraser ni croquer;;;A prendre environ 1h avant l'activité. Eviter le jus de pamplemousse. La poudre pour suspension buvable est destinée à traitée l'HTAP;Thériaque 03/2023;Revatio : ecrasable selon HUG 03/2023;;18/04/2023
"SILODOSINE 4 et 8mg
(Urorec, Silodyx)";Alpha-bloquants;Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas, de préférence à heure fixe.;RCP;Urorec : ouvrable selon HUG 03/2023;En attente (Bouchara-Recordati) 05/2024;22/05/2024
SIMVASTATINE 20 et 40 mg (Zocor);Inhibiteurs de l'HMG-CoA reductase (statines);Comprimé ou comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre le soir. Eviter le jus de pamplemousse.;Réponse laboratoire;;MSD 19-09-2020 : écrasement possible si administration immédiate. Le pelliculage masque le goût amer.;18/04/2023
"SIROLIMUS 0,5 ; 1 et 2 mg (Rapamune)";Immunosuppresseurs sélectifs;Comprimé;"Solution buvable
? Adaptation posologique ?";Ne pas écraser ni croquer;;;A prendre pendant ou hors des repas, mais de façon constante. Eviter le jus de pamplemousse.;RCP;;;18/04/2023
SITAGLIPTINE 50 et 100 mg (Januvia, Xelevia);Inhibiteurs de la dipeptidyl peptidase-4 (DPP-4);Comprimé;Non;;;;;Réponse laboratoire;Januvia : ecrasable selon HUG 03/2023;MSD 08/09/2025 : pas d'études disponibles, pas d'écrasement;08/09/2025
SOFOSBUVIR 400 mg (Sovaldi);Autres antiviraux;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre pendant les repas. Mauvais goût.;RCP;Ecrasable selon HUG 03/2023;Gilead 02-03-2022 : écrasement et fractionnement déconseillés car pas d'étude et goût très amer si broyé.;18/04/2023
SOLIFENACINE 5 et 10 mg (Vesicare);Antispasmodiques urinaires;Comprimé;Suspension buvable;Ne pas écraser ni croquer;Goût désagréable;;;RCP;;;18/04/2023
SOTALOL 80 et 160 mg (Sotalex);Bêta-bloquants non sélectifs;Comprimé sécable;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>;A prendre de préférence le matin.;Réponse laboratoire;Ecrasable selon laboratoire;Cheplapharm 14-03-2022 : écrasement possible, produit soluble dans l'eau. ;18/04/2023
SPIRAMYCINE 3 MUI (Rovamycine);Macrolides;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;RCP;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
SPIRONOLACTONE 25, 50 et 75 mg (Aldactone);Antagonistes de l'aldostérone;Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>;Peut être écrasé et mis en suspension, de préférence dans un liquide sucré.;RCP;;Pfizer 04-08-2020 : cf. RCP. Très peu hydrosoluble. Goût amer.;18/04/2023
SUCRALFATE 1 g (Keal);Anticholinergiques synthétiques, esters d'amines tertiaires;Comprimé sécable;Suspension buvable;Écrasement possible;;Prise possible avec de l’eau<br>;Peut être écrasé dans un peu d'eau.;Notice patient;;;18/04/2023
SULBUTIAMINE 200 mg (Arcalion);Vitamine B1, non associée;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas le matin et le midi.;RCP;;Servier 28-02-2022 : cf. RCP;18/04/2023
SULFADIAZINE 500 mg (Adiazine);Sulfamides de demi-vie intermediaire;Comprimé;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Peut être écrasé et mélangé à un aliment (jus de fruit, yaourt, purée...). Goût amer.;RCP;;;18/04/2023
SULFAMETHOXAZOLE / TRIMETHOPRIME 400/80 et 800/160 mg (Cotrimoxazole, Bactrim, Bactrim Forte);Associations de sulfamidés et de triméthoprime, y compris des dérivés;Comprimé ;Suspension buvable;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Eumedica 02-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
SULFASALAZINE 500 mg (Salazopyrine);Acide aminosalicylique et  dérivés;Comprimé GR;Non;Ne pas écraser ni croquer;;;A prendre de préférence après les repas.;RCP;;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
SULFATE FERREUX / ACIDE ASCORBIQUE 50/30 mg (Timoferol);Préparations orales de fer bivalent;Comprimé;Solution buvable de sulfate ferreux seul (Tardyféron);?;Goût désagréable;;A prendre de préférence le matin avant les repas, ou pendant selon la tolérance digestive. Eviter le thé.;;;En attente (Elerte);19/09/2023
SULFATE FERREUX / ACIDE ASCORBIQUE 50/30 mg (Timoferol);Préparations orales de fer bivalent;Gélule;Solution buvable de sulfate ferreux seul (Tardyféron);Ne pas ouvrir;Goût désagréable;;A prendre de préférence le matin avant les repas, ou pendant selon la tolérance digestive. Eviter le thé.;Thériaque 03/2023;;;18/04/2023
SULFATE FERREUX / ACIDE FOLIQUE 50 mg / 350 µg (Tardyferon B9); Fer associé à l'acide folique;Comprimé;Solution buvable de sulfate ferreux seul (Tardyféron);Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence avant les repas, ou pendant selon la tolérance digestive. Eviter le thé.;RCP;;;18/04/2023
SULFATE FERREUX 50 et 80 mg (Tardyferon);Préparations orales de fer bivalent;Comprimé;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence avant les repas, ou pendant selon la tolérance digestive. Eviter le thé.;RCP;;;18/04/2023
SULINDAC 100 et 200 mg (Arthrocine);Dérivés de l'acide acétique et apparentés;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;RCP;;;18/04/2023
SULPIRIDE 200 mg (Dogmatil);Benzamides;Comprimé sécable;Solution buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
SULPIRIDE 50 mg (Dogmatil);Benzamides;Gélule;Solution buvable;Ne pas ouvrir;;;;Réponse laboratoire;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
SUMATRIPTAN 50 mg (Imigrane);Agonistes sélectifs des récepteurs 5-HT1;Comprimé;Solution pour pulvérisation nasale;Délitement possible;Goût désagréable;Prise possible avec de l’eau<br>;Peut être dissout sans l'écraser dans un peu d'eau. A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible. Goût amer.;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
"TACROLIMUS 0,5 ; 1, 2 et 5 mg (Adoport, Prograf)";Inhibiteurs de la calcineurine;Gélule;Granulés pour suspension buvable;Ouverture possible;;Prise possible avec de l’eau<br>;Si nécessaire le contenu de la gélule peut être dispersé dans de l'eau et administré par sonde naso-gastrique (? PA cytotoxique : protection du manipulateur requise). A prendre à jeun ? 1h avant ou ? 2h après le repas. Eviter le jus de pamplemousse.;RCP;;;23/04/2024
"TACROLIMUS LP 0,5 ; 0,75 ; 1, 2, 3, 4 et 5 mg (Advagraf, Conferoport)";Inhibiteurs de la calcineurine;Gélule LP;"? Non LP ?
Granulés pour suspension buvable";Ne pas ouvrir;;;PA cytotoxique. A prendre à jeun ? 1h avant ou ? 2h après le repas. Eviter le jus de pamplemousse.;RCP;;;19/09/2023
"TADALAFIL 2,5 ; 5, 10 et 20 mg (Adcirca, Cialis)";Médicaments utilisés dans les troubles de l'erection;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre ? 30 min avant l'activité. Eviter le jus de pamplemousse.;Notice patient;;;18/04/2023
TAMOXIFENE 10 et 20 mg (Nolvadex);Anti-oestrogènes;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;PA cytotoxique.;Réponse laboratoire;;AstraZeneca 02-10-2020 : écrasement déconseillé car pas d'étude. Photosensible.;18/04/2023
TAMSULOSINE LP 0,4 (Omexel LP, Mecir LP);Alpha-bloquants;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe.;RCP;;Boehringer Ingelheim 24-02-2022 : cf. RCP;18/04/2023
TAMSULOSINE LP 0,4 (Omix LP);Alpha-bloquants;Gélule LP;Non;Ne pas ouvrir;;;A prendre à heure fixe après un repas consistant, de préférence le matin.;RCP;;Astellas Pharma 14-03-2022 : cf. RCP;18/04/2023
"TELMISARTAN / HYDROCHLOROTHIAZIDE 40/12,5 ; 80/12,5 et 80/25 mg (Pritorplus)";Antagonistes de l'angiotensine II et diurétiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre à heure fixe.;Réponse laboratoire;;Bayer 21-02-2022 : écrasement déconseillé car photosensible.;18/04/2023
TELMISARTAN 20, 40 et 80 mg (Micardis, Pritor);Antagonistes de l'angiotensine II non associés;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Boehringer Ingelheim 24-02-2022 : écrasement déconseillé car pas d'étude. Sensible à l'humidité et à l'oxydation.;18/04/2023
TEMOZOLOMIDE 5, 20, 100, 140, 180 et 250 mg (Temodal);Autres alkylants;Gélule;Non;Ne pas ouvrir;;;PA cytotoxique. A prendre à jeun et à distance des repas, de préférence à heure fixe.;RCP;;;18/04/2023
TENOFOVIR 123, 163, 204 et 245 mg (Viread);Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique;Comprimé;Granulés;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>;A prendre pendant les repas. Peut être écrasé ou délité dans ? 100 mL d'eau, de jus d'orange ou de raisin pour administration immédiate.;RCP;;;18/04/2023
TENOXICAM 20 mg (Tilcotil);Oxicams;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;RCP;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
TERBINAFINE 250 mg (Lamisil);Antifongiques à usage systémique;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe, de préférence pendant les repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;18/04/2023
TERTATOLOL 5 mg (Artex);Bêta-bloquants non sélectifs;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre le matin.;Réponse laboratoire;;Servier 28-02-2022 : écrasement déconseillé car pas d'étude;18/04/2023
THALIDOMIDE 50 mg (génériques);Autres immunosuppresseurs;Gélule;Non;Ne pas ouvrir;;;PA cytotoxique et tératogène. A prendre de préférence le soir.;RCP;;Bristol Myers Squibb 28-02-2022 : cf. RCP;18/04/2023
THEOPHYLLINE LP 50, 100, 200 et 300 mg (Dilatrane LP);Xanthines;Gélule LP;Sirop;Ne pas ouvrir;;;;RCP;;;18/04/2023
THIAMAZOL 5, 10, 20 mg (Thyrozol);Dérivé de l'imidazole contenant du soufre;Comprimé;Non;Écrasement possible;;;;Réponse laboratoire;;Merck 07-05-2025 : écrasement possible, pas d'étude de stabilité, à boire immédiatement;12/05/2025
THIAMINE 250 mg (Benerva);Vitamine B1, non associée;Comprimé;Non;Ne pas écraser ni croquer;;;;RCP;Ecrasable selon HUG 03/2023;;19/09/2023
THIOCOLCHICOSIDE 4 mg (Miorel);Autres myorelaxants à action centrale;Gélule;Non;Ne pas ouvrir;;;;Réponse laboratoire;;DB Pharma 21-02-2022 : ouverture déconseillée car pas d'étude;18/04/2023
THIOCOLCHICOSIDE 4 mg (génériques);Autres myorelaxants à action centrale;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Arrow 15-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
THIOGUANINE 40 mg (Lanvis);Analogues de la purine;Comprimé sécable;Non;Ne pas écraser ni croquer;;;PA cytotoxique.;Réponse laboratoire;;ASPEN Pharma 22-02-2022 : des protocoles existent pour réaliser des solutions à partir des comprimés, en suivant les précautions d'usage de manipulation des produits cytotoxiques.;18/04/2023
TIANEPTINE 12,5 mg (Stablon);Autres antidépresseurs;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre au début des repas.;Réponse laboratoire;;Servier 28-02-2022 : broyage déconseillé car pas d'étude;18/04/2023
